state_code,district_number,rep_name,rep_audio_url
NE,3,Adrian Smith,/n400-audio/State/Nebraska/House of rep/3rd/Adrian_Smith.mp3
NH,1,Chris Pappas,/n400-audio/State/New%20Hampshire/House of rep/1st/Chris_Pappas.mp3
NH,2,Maggie Goodlander,/n400-audio/State/New%20Hampshire/House of rep/2nd/Maggie_Goodlander.mp3
NJ,1,Donald Norcross,/n400-audio/State/New%20Jersey/House of rep/1st/Donald_Norcross.mp3
NJ,2,Jefferson Van Drew,/n400-audio/State/New%20Jersey/House of rep/2nd/Jefferson_Van_Drew.mp3
NJ,3,Herbert Conaway,/n400-audio/State/New%20Jersey/House of rep/3rd/Herbert_Conaway.mp3
NJ,4,Christopher Smith,/n400-audio/State/New%20Jersey/House of rep/4th/Christopher_Smith.mp3
NJ,5,Josh Gottheimer,/n400-audio/State/New%20Jersey/House of rep/5th/Josh_Gottheimer.mp3
NJ,6,Frank Pallone,/n400-audio/State/New%20Jersey/House of rep/6th/Frank_Pallone.mp3
NJ,7,Thomas Kean,/n400-audio/State/New%20Jersey/House of rep/7th/Thomas_Kean.mp3
NJ,8,Robert Menendez,/n400-audio/State/New%20Jersey/House of rep/8th/Robert_Menendez.mp3
NJ,9,Nellie Pou,/n400-audio/State/New%20Jersey/House of rep/9th/Nellie_Pou.mp3
NJ,10,LaMonica McIver,/n400-audio/State/New%20Jersey/House of rep/10th/LaMonica_McIver.mp3
NJ,11,Analilia Mejia,/n400-audio/State/New%20Jersey/House of rep/11th/Analilia_Mejia.mp3
NJ,12,Bonnie Watson Coleman,/n400-audio/State/New%20Jersey/House of rep/12th/Bonnie_Watson_Coleman.mp3
NM,1,Melanie Stansbury,/n400-audio/State/New%20Mexico/House of rep/1st/Melanie_Stansbury.mp3
NM,2,Gabe Vasquez,/n400-audio/State/New%20Mexico/House of rep/2nd/Gabe_Vasquez.mp3
NM,3,Teresa Leger Fernandez,/n400-audio/State/New%20Mexico/House of rep/3rd/Teresa_Leger_Fernandez.mp3
NV,1,Dina Titus,/n400-audio/State/Nevada/House of rep/1st/Dina_Titus.mp3
NV,2,Mark Amodei,/n400-audio/State/Nevada/House of rep/2nd/Mark_Amodei.mp3
NV,3,Susie Lee,/n400-audio/State/Nevada/House of rep/3rd/Susie_Lee.mp3
NV,4,Steven Horsford,/n400-audio/State/Nevada/House of rep/4th/Steven_Horsford.mp3
NY,1,Nick LaLota,/n400-audio/State/New%20York/House of rep/1st/Nick_LaLota.mp3
NY,2,Andrew Garbarino,/n400-audio/State/New%20York/House of rep/2nd/Andrew_Garbarino.mp3
NY,3,Thomas R  Suozzi,/n400-audio/State/New%20York/House of rep/3rd/Thomas_R__Suozzi.mp3
NY,4,Laura Gillen,/n400-audio/State/New%20York/House of rep/4th/Laura_Gillen.mp3
NY,5,Gregory Meeks,/n400-audio/State/New%20York/House of rep/5th/Gregory_Meeks.mp3
NY,6,Grace Meng,/n400-audio/State/New%20York/House of rep/6th/Grace_Meng.mp3
